Ticker,Rank,Price,Market Cap,High,Year Price Change,Year % Price Change,Year Market Cap Change,Year % Market Cap Change
NEXO,86,3.02045973,1691457477.0,3.94475801,2.76987945,11.0539,2.76987945,11.0539
OMI,87,0.0070909249,1685440722.0,0.013128855,0.0070447779,152.6596,0.0070447779,152.6596
CRV,88,3.89066047,1667740968.0,11.23792724,3.14098911,4.1898,3.14098911,4.1898
SNX,89,8.60066995,1647253099.0,27.1590898,3.60768017,0.7225,3.60768017,0.7225
CEL,90,4.00864706,1646473674.0,8.03317165,1.56379911,0.6396,1.56379911,0.6396
BAT,91,1.08006752,1611997637.0,1.55162362,0.86006139,3.9093,0.86006139,3.9093
XEM,92,0.1745881,1571292920.0,1.81273714,0.0452163,0.3495,0.0452163,0.3495
HT,93,9.67138435,1540734374.0,34.96262907,5.42865152,1.2795,5.42865152,1.2795
QTUM,94,14.79611359,1537484256.0,71.79814586,12.24034157,4.7893,12.24034157,4.7893
DCR,95,106.64186343,1441203472.0,246.06539269,84.72945709,3.8667,84.72945709,3.8667
ICX,96,2.10400739,1420806295.0,12.31778424,1.71424171,4.3981,1.71424171,4.3981
WAXP,97,0.89672381,1398751954.0,2.32116178,0.86182537,24.6952,0.86182537,24.6952
LN,98,231.70833987,1384688780.0,326.9499944,220.54391686,19.7542,220.54391686,19.7542
OMG,99,9.71284081,1362181228.0,25.6547429,5.81585664,1.4924,5.81585664,1.4924
MINA,100,4.45498564,1330251771.0,44.98033199,4.20442385,16.78,4.20442385,16.78
